DateOfStop	TimeOfStop	Violation	Location	Latitude	Longitude	Accident	Year	Make	Model
11/26/2025	16:10:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	RT 28 @ ALDERWOOD DR	39.10667817	-77.234468	No	2024	MERCEDES	UT
11/26/2025	16:09:00	EXCEEDING POSTED MAXIMUM SPEED LIMIT: 69 MPH IN A POSTED 60 MPH ZONE	WB MD RT 200 @ GEORGIA AVE	39.14951833	-77.23931833	No	1900	BMW	MC
11/26/2025	16:07:00	EXCEEDING POSTED MAXIMUM SPEED LIMIT: 49 MPH IN A POSTED 40 MPH ZONE	DARNESTOWN RD @ AMERICAN WAY	39.10688667	-77.23458167	No	2025	MERZ	UT
11/26/2025	16:01:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	DARNESTOWN RD @ AMERICAN WAY	39.10678333	-77.23437833	No	1996	LGCH	CT
11/26/2025	15:53:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	DARNESTOWN RD @ AMERICAN WAY	39.10657667	-77.23421667	No	2021	JEEP	UT
11/26/2025	15:48:00	EXCEEDING POSTED MAXIMUM SPEED LIMIT: 69 MPH IN A POSTED 60 MPH ZONE	EB MD RT 200 @ MM 4.5	39.14951833	-77.23931833	No	2015	HOND	TK
11/26/2025	15:45:00	EXCEEDING THE POSTED SPEED LIMIT OF 55 MPH	EB MD200 @ MM 4.6	0	0	No	2008	HONDA	ACCORD
11/26/2025	15:35:00	EXCEEDING POSTED MAXIMUM SPEED LIMIT: 82 MPH IN A POSTED 55 MPH ZONE	EB MD RT 200 @ MM 3.3	39.14951833	-77.23931833	No	2019	BMW	X3
11/26/2025	15:30:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	FREDERICK RD/PROFESSIONAL DR	39.161418	-77.223283	No	2021	HONDA	CIVIC
11/26/2025	15:24:00	EXCEEDING POSTED MAXIMUM SPEED LIMIT: 64 MPH IN A POSTED 55 MPH ZONE	EB MD RT 200 @ MM 3.0	39.14951833	-77.23931833	No	2025	LEXUS	HS 250H
11/26/2025	15:18:00	EXCEEDING POSTED MAXIMUM SPEED LIMIT: 61 MPH IN A POSTED 40 MPH ZONE	FREDERICK RD/PROFESSIONAL DR	39.161996	-77.22128433	No	2019	DODGE	RAM 1500
11/26/2025	15:10:00	FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION	SANGAMORE RD @ MACARTHUR BLVD	38.94446309	-77.11700969	No	2017	JEEP	GRAND CHEROKEE
11/26/2025	14:10:00	DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY	SKYLARK RD/MEADOW MIST RD	39.23539333	-77.25111167	No	2021	TESL	UT
11/26/2025	14:05:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	GERMANTOWN RD/DAWSON FARM	39.17200333	-77.27689667	No	2019	BMW	SD
11/26/2025	13:49:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	GERMANTOWN RD/DAWSON FARM	39.17240167	-77.276505	No	2012	BMW	750
11/26/2025	12:43:00	EXCEEDING THE POSTED SPEED LIMIT OF 50 MPH	MIDCOUNTY HWY @ WOODFIELD RD	39.15118667	-77.17543	No	2024	TOYT	PK
11/26/2025	11:38:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	RANDOLPH RD AND HAMMONTON DR	39.069058	-77.01524233	No	2025	LEXS	WG
11/26/2025	11:29:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	NEW HAMPSHIRE AVE / SHAW AVE	39.066555	-77.001445	No	2011	MERZ	ML350
11/26/2025	11:29:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	RANDOLPH RD AND HAMMONTON DR	39.0686535	-77.01521517	No	2015	AUDI	SD
11/26/2025	11:19:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	NEW HAMPSHIRE AVE / SHAW AVE	39.0678	-77.00204833	No	2006	TOYOTA	CAMRY
11/26/2025	11:13:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	NEW HAMPSHIRE AVE / SHAW AVE	39.06576	-77.00006333	No	2021	MITS	MIRAGE
11/26/2025	10:59:00	EXCEEDING POSTED MAXIMUM SPEED LIMIT: 58 MPH IN A POSTED 40 MPH ZONE	NEW HAMPSHIRE AVE/ROSEMERE AVE	39.0687125	-77.002815	No	2014	CHEVROLET	SUBURBAN
11/26/2025	10:56:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	RANDOLPH RD @ HAMMONTON PL	0	0	No	2011	TOYT	SCION
11/26/2025	10:52:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	NEW HAMPSHIRE AVE / SHAW AVE	39.066145	-76.998875	No	2020	HYUNDAI	ELANTRA
11/26/2025	10:46:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	NEW HAMPSHIRE AVE / SHAW AVE	39.066305	-77.00106667	No	2024	HONDA	6B1309
11/26/2025	10:44:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	NEW HAMPSHIRE AVE/ROSEMERE AVE	39.06886067	-77.00258967	No	2010	HYUNDAI	SW
11/26/2025	10:43:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	RANDOPLH AND KIMBLEWICK	39.0732455	-77.00786433	No	2022	HYUN	UT
11/26/2025	10:40:00	EXCEEDING POSTED MAXIMUM SPEED LIMIT: 49 MPH IN A POSTED 40 MPH ZONE	300 BLK RANDOLPH RD	39.07325533	-77.00784567	No	2025	SUBARU	FORESTER
11/26/2025	10:29:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	12000 BLK NEW HAMPSHIRE AVE	39.05559767	-76.99601867	No	2022	HYUNDAI	4DR
11/26/2025	10:12:00	FAILURE TO CONTROL VEH. SPEED ON HWY. TO AVOID COLLISION	8856 PINEY BRANCH RD	0	0	Yes	2004	SPNR	SPRINTER
11/26/2025	10:11:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	12600 BLK NEW HAMPSHIRE AVE	39.06414117	-76.99982983	No	2012	CADI	4DR
11/26/2025	10:05:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	RANDOLPH RD @ HAMMONTON PL	0	0	No	2013	NISS	SENTRA
11/26/2025	9:45:00	EXCEEDING POSTED MAXIMUM SPEED LIMIT: 74 MPH IN A POSTED 40 MPH ZONE	RANDOLPH RD @ HAMMONTON PL	0	0	No	2014	VOLKSWAGEN	BEETLE
11/26/2025	9:23:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	NEW HAMPSHIRE AVE / SHAW AVE	39.066055	-77.00085333	No	2025	MAZDA	CX30
11/26/2025	9:16:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	12400 BLK NEW HAMPSHIRE AVE	39.05558417	-76.99599467	No	2014	HOND	PV
11/26/2025	8:56:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	12000 BLK NEW HAMPSHIRE AVE	39.04733033	-76.99295	No	2024	LEXS	UT
11/26/2025	8:51:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	NEW HAMPSHIRE AVE / SHAW AVE	39.06799833	-77.00246667	No	2024	LEXUS	RX350H
11/26/2025	8:51:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	12400 BLK NEW HAMPSHIRE AVE	39.05434183	-76.99497917	No	2021	HOND	SD
11/26/2025	8:45:00	EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH	5601 MASSACHUSETTS AVE	38.95845167	-77.11024667	No	2022	TESL	UT
11/26/2025	8:44:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	12000 BLK NEW HAMPSHIRE AVE	39.0581255	-76.997388	No	2024	CADILLAC	UT
11/26/2025	8:39:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	DARNESTOWN RD @ AMERICAN WAY	39.105945	-77.23275	No	2025	LEXUS	NX 350
11/26/2025	8:29:00	EXCEEDING POSTED MAXIMUM SPEED LIMIT: 39 MPH IN A POSTED 30 MPH ZONE	DARNESTOWN RD @ BLACKBERRY DR	39.11553667	-77.24623667	No	2020	ACURA	MDX
11/26/2025	8:26:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	12810 NEW HAMPSHIRE AVE	39.05668717	-76.99701383	No	2012	HONDA	ACCORD
11/26/2025	8:17:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	DARNESTOWN RD @ EDISON PARK DR	39.11002833	-77.23800833	No	2003	HONDA	ACCORD
